Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Loss
Art & Sculpture,18,450,-5,0,445,-5
Basket,3,460,-17.5,0,442.5,-17.5
Art & Sculpture,4,458,-15.6,0,442.4,-15.6
Art & Sculpture,6,536,-6.8,-88,441.2,-94.8
Jewelry,5,440,0,0,440,0
Christmas,5,440,0,0,440,0
Jewelry,16,448,-8.4,0,439.6,-8.4
Art & Sculpture,25,450,-14.39,0,435.61,-14.39
Basket,4,440,-11,0,429,-11
Christmas,17,442,-20.8,0,421.2,-20.8
Kitchen,45,437,-10.25,-8.54,418.21,-18.79
Art & Sculpture,10,420,-4.5,0,415.5,-4.5
Art & Sculpture,14,435,-20.1,0,414.9,-20.1
Fair Trade Gifts,17,432,-19.6,0,412.4,-19.6
Basket,10,420,-9.6,0,410.4,-9.6
Basket,2,615,0,-205,410,-205
Art & Sculpture,12,432,-25.2,0,406.8,-25.2
One-of-a-Kind,1,450,-45,0,405,-45
Christmas,12,408,-3.4,0,404.6,-3.4
Jewelry,29,462,-8.41,-56,397.59,-64.41
Basket,6,408,-11.8,0,396.2,-11.8
Basket,4,440,-44,0,396,-44
Basket,2,410,-20.5,0,389.5,-20.5
Art & Sculpture,3,432,-43.2,0,388.8,-43.2
Art & Sculpture,1,385,0,0,385,0
Basket,4,414,-33,0,381,-33
Art & Sculpture,6,379,0,0,379,0
Home Decor,3,374,0,0,374,0
Basket,9,378,-4.2,0,373.8,-4.2
Art & Sculpture,16,408,-13.6,-21.6,372.8,-35.2
Kitchen,21,374,-1.39,0,372.61,-1.39
Art & Sculpture,3,384,-12.8,0,371.2,-12.8
Art & Sculpture,4,380,-9.5,0,370.5,-9.5
Basket,2,370,0,0,370,0
Basket,11,393.25,-25,0,368.25,-25
Basket,8,428,-19.2,-46,362.8,-65.2
Soapstone,13,359,0,0,359,0
Art & Sculpture,2,396,-39.6,0,356.4,-39.6
Kitchen,18,360,-4,0,356,-4
Art & Sculpture,4,360,-4.19,0,355.81,-4.19
Art & Sculpture,4,360,-5.8,0,354.2,-5.8
Christmas,16,352,0,0,352,0
Basket,2,370,-18.5,0,351.5,-18.5
Art & Sculpture,1,350,0,0,350,0
Basket,2,350,0,0,350,0
Art & Sculpture,11,352,-3.19,0,348.81,-3.19
Basket,7,364,-15.6,0,348.4,-15.6
Basket,6,348,0,0,348,0
Basket,3,348,0,0,348,0
Home Decor,16,352,-4.4,0,347.6,-4.4
Christmas,16,352,-4.4,0,347.6,-4.4
Basket,8,344,0,0,344,0
Basket,9,342,0,0,342,0
Jewelry,11,360,-19.4,0,340.6,-19.4
Basket,9,339,0,0,339,0
Fair Trade Gifts,16,352,-13.18,0,338.82,-13.18
Art & Sculpture,6,348,-11.6,0,336.4,-11.6
Basket,3,360,-24,0,336,-24
Art & Sculpture,2,336,0,0,336,0
Jewelry,7,336,-3.15,0,332.85,-3.15
Art & Sculpture,14,350,-17.2,0,332.8,-17.2
Art & Sculpture,2,350,-17.5,0,332.5,-17.5
Basket,2,350,-17.5,0,332.5,-17.5
Basket,3,330,0,0,330,0
Basket,3,440,0,-110,330,-110
Basket,2,330,0,0,330,0
Art & Sculpture,3,440,0,-110,330,-110
Basket,1,365,-36.5,0,328.5,-36.5
Art & Sculpture,8,336,-12.6,0,323.4,-12.6
Jewelry,10,340,-18.6,0,321.4,-18.6
Home Decor,5,408,-20.4,-68,319.6,-88.4
Basket,3,330,-11,0,319,-11
Music,9,328,-12.6,0,315.4,-12.6
Art & Sculpture,7,315,0,0,315,0
Basket,2,350,-35,0,315,-35
Christmas,18,324,-10.8,0,313.2,-10.8
Basket,1,310,0,0,310,0
Art & Sculpture,3,330,-22,0,308,-22
Basket,3,330,-22,0,308,-22
Art & Sculpture,2,324,-16.2,0,307.8,-16.2
Kitchen,13,312,-4.81,0,307.19,-4.81
Art & Sculpture,5,312,-5,0,307,-5
Basket,5,307,0,0,307,0
Art & Sculpture,7,315,-9.5,0,305.5,-9.5
Basket,3,348,-46.4,0,301.6,-46.4
Art & Sculpture,2,300,0,0,300,0
Basket,8,348,-11.41,-38,298.59,-49.41
Basket,3,298,0,0,298,0
Jewelry,11,308,-11.21,0,296.79,-11.21
Art & Sculpture,2,296,0,0,296,0
Jewelry,6,300,-4.4,0,295.6,-4.4
Kitchen,29,307.5,-14.16,0,293.34,-14.16
Basket,3,304,-11,0,293,-11
Jewelry,21,378,-2.8,-84,291.2,-86.8
Art & Sculpture,5,290,0,0,290,0
Textiles,8,342,-15.2,-38,288.8,-53.2
Basket,3,288,0,0,288,0
Home Decor,2,288,0,0,288,0
Art & Sculpture,6,288,0,0,288,0
Christmas,16,306,-1.8,-18,286.2,-19.8
Soapstone,8,285,0,0,285,0
Home Decor,5,320,-38.4,0,281.6,-38.4
Home Decor,8,304,-22.8,0,281.2,-22.8
Furniture,2,350,-70,0,280,-70
Music,16,292,-12.2,0,279.8,-12.2
Art & Sculpture,3,302,-23.4,0,278.6,-23.4
Jewelry,6,288,-9.6,0,278.4,-9.6
Art & Sculpture,6,288,-9.61,0,278.39,-9.61
Christmas,13,286,-8.8,0,277.2,-8.8
Jewelry,6,288,-12,0,276,-12
Basket,6,280,-6.32,0,273.68,-6.32
Home Decor,2,288,-14.39,0,273.61,-14.39
Art & Sculpture,8,288,-14.4,0,273.6,-14.4
Home Decor,4,286,-13.6,0,272.4,-13.6
Art & Sculpture,4,272,0,0,272,0
Basket,2,272,0,0,272,0
Art & Sculpture,6,276,-4.8,0,271.2,-4.8
Christmas,15,270,0,0,270,0
Home Decor,2,270,0,0,270,0
Jewelry,10,280,-10.44,0,269.56,-10.44
Art & Sculpture,15,278,-8.71,0,269.29,-8.71
Art & Sculpture,7,272,-3.52,0,268.48,-3.52
Christmas,15,288,-3.6,-18,266.4,-21.6
Home Decor,4,272,-6.79,0,265.21,-6.79
Home Decor,4,272,-6.8,0,265.2,-6.8
Christmas,15,270,-5.41,0,264.59,-5.41
Kids,12,264,0,0,264,0
Home Decor,3,264,0,0,264,0
Fair Trade Gifts,22,264,0,0,264,0
Kitchen,2,264,0,0,264,0
Basket,1,288,-28.8,0,259.2,-28.8
Recycled Art,9,262,-3,0,259,-3
Music,4,256,0,0,256,0
Basket,6,264,-8.8,0,255.2,-8.8
Jewelry,7,270,-15.21,0,254.79,-15.21
Basket,6,252,0,0,252,0
Basket,6,267,-15.31,0,251.69,-15.31
Home Decor,4,272,-20.4,0,251.6,-20.4
Home Decor,7,304,-15.2,-38,250.8,-53.2
Home Decor,4,248,0,0,248,0
Furniture,1,275,-27.5,0,247.5,-27.5
Recycled Art,1,245,0,0,245,0
Art & Sculpture,2,244,0,0,244,0
Jewelry,6,252,-8.41,0,243.59,-8.41
Skin Care,13,240.5,0,0,240.5,0
Music,13,280,-21.99,-18.01,240,-40
Basket,1,240,0,0,240,0
Art & Sculpture,5,240,0,0,240,0
Basket,8,274,0,-34,240,-34
Art & Sculpture,1,240,0,0,240,0
Jewelry,8,244,-5.1,0,238.9,-5.1
Home Decor,2,249,-12.5,0,236.5,-12.5
Kitchen,4,252,-15.6,0,236.4,-15.6
Christmas,13,234,0,0,234,0
Basket,2,232,0,0,232,0
Basket,2,348,-11.6,-104.4,232,-116
Jewelry,5,240,-9.6,0,230.4,-9.6
Basket,2,230,0,0,230,0
Christmas,9,252,-22.4,0,229.6,-22.4
Skin Care,6,228,0,0,228,0
Basket,5,272,-5.12,-38.88,228,-44
Christmas,4,232,-5.8,0,226.2,-5.8
Basket,6,268,-4,-38,226,-42
Basket,5,240,-14.6,0,225.4,-14.6
Basket,4,245,-19.69,0,225.31,-19.69
Art & Sculpture,1,225,0,0,225,0
Basket,6,228,-3.4,0,224.6,-3.4
Basket,6,266,-3.8,-38,224.2,-41.8
Kitchen,19,228,-5.79,0,222.21,-5.79
Art & Sculpture,3,222,0,0,222,0
Basket,4,232,-10.6,0,221.4,-10.6
Basket,2,232,-11.6,0,220.4,-11.6
Basket,2,220,0,0,220,0
Basket,1,240,-24,0,216,-24
Christmas,8,224,-8.41,0,215.59,-8.41
Home Decor,3,234,-19.5,0,214.5,-19.5
Christmas,12,216,-1.8,0,214.2,-1.8
Home Decor,6,228,-15.19,0,212.81,-15.19
Basket,5,220,-8.8,0,211.2,-8.8
Art & Sculpture,1,210,0,0,210,0
Art & Sculpture,8,224,-14,0,210,-14
Basket,1,210,0,0,210,0
Basket,2,220,-11,0,209,-11
Basket,2,232,-23.2,0,208.8,-23.2
Art & Sculpture,12,216,-8.4,0,207.6,-8.4
Soapstone,8,224,-19.6,0,204.4,-19.6
Kitchen,6,204,0,0,204,0
Jewelry,3,204,0,0,204,0
Basket,3,204,0,0,204,0
Jewelry,6,204,0,0,204,0
Basket,6,204,0,0,204,0
Kitchen,20,220.5,-16.92,0,203.58,-16.92
Art & Sculpture,4,312,-5.2,-104,202.8,-109.2
Art & Sculpture,6,216,-14.4,0,201.6,-14.4
One-of-a-Kind,1,200,0,0,200,0
Basket,4,204,-5.8,0,198.2,-5.8
Home Decor,2,208,-9.8,0,198.2,-9.8
Basket,2,220,-22,0,198,-22
Basket,1,220,-22,0,198,-22
Art & Sculpture,9,198,0,0,198,0
Accessories,3,204,-6.8,0,197.2,-6.8
Accessories,2,196,0,0,196,0
Art & Sculpture,7,196,0,0,196,0
Home Decor,4,196,0,0,196,0
Jewelry,6,202,-6.6,0,195.4,-6.6
Basket,1,195,0,0,195,0
Art & Sculpture,3,195,0,0,195,0
Basket,1,390,0,-195,195,-195
Basket,4,208,-13.01,0,194.99,-13.01
Recycled Art,8,200,-5.01,0,194.99,-5.01
Jewelry,5,202,-7.6,0,194.4,-7.6
Soapstone,7,193,0,0,193,0
Art & Sculpture,3,192,0,0,192,0
Home Decor,5,204,-12.1,0,191.9,-12.1
Kids,6,204,-13.4,0,190.6,-13.4
Basket,3,204,-13.6,0,190.4,-13.6
Home Decor,2,190,0,0,190,0
Basket,2,190,0,0,190,0
Basket,4,194,-4.4,0,189.6,-4.4
Basket,4,194,-5,0,189,-5
Recycled Art,6,192,-3.2,0,188.8,-3.2
Basket,1,564,0,-376,188,-376
Basket,4,188,0,0,188,0
Basket,7,196,-8.39,0,187.61,-8.39
Basket,6,194,-6.41,0,187.59,-6.41
Basket,4,192,-4.8,0,187.2,-4.8
Home Decor,8,192,-4.8,0,187.2,-4.8
Accessories,2,196,-9.79,0,186.21,-9.79
Soapstone,5,190,-3.8,0,186.2,-3.8
Accessories,2,196,-9.81,0,186.19,-9.81
Art & Sculpture,12,192,-6.42,0,185.58,-6.42
Basket,1,185,0,0,185,0
Art & Sculpture,1,185,0,0,185,0
Home Decor,1,185,0,0,185,0
Basket,1,205,-20.5,0,184.5,-20.5
Art & Sculpture,3,204,-20.4,0,183.6,-20.4
Music,9,186,-2.4,0,183.6,-2.4
Jewelry,8,192,-9.59,0,182.41,-9.59
Home Decor,5,190,-7.6,0,182.4,-7.6
Home Decor,5,228,-7.6,-38,182.4,-45.6
Basket,4,182,0,0,182,0
Soapstone,7,183,-2.1,0,180.9,-2.1
Furniture,2,190,-9.49,0,180.51,-9.49
Recycled Art,12,180,0,0,180,0
Basket,4,184,-4.6,0,179.4,-4.6
Jewelry,7,196,-16.79,0,179.21,-16.79
Basket,2,188,-9.4,0,178.6,-9.4
Art & Sculpture,1,198,-19.8,0,178.2,-19.8
Kids,5,178,0,0,178,0
Jewelry,13,238,-4.21,-56,177.79,-60.21
Jewelry,4,192,-14.39,0,177.61,-14.39
Art & Sculpture,5,180,-3.6,0,176.4,-3.6
Art & Sculpture,10,180,-3.62,0,176.38,-3.62
Jewelry,2,176,0,0,176,0
Art & Sculpture,4,176,0,0,176,0
Art & Sculpture,4,180,-4.5,0,175.5,-4.5
Basket,1,195,-19.5,0,175.5,-19.5
Art & Sculpture,1,195,-19.5,0,175.5,-19.5
Jewelry,4,180,-4.6,0,175.4,-4.6
Basket,1,175,0,0,175,0
One-of-a-Kind,1,175,0,0,175,0
Christmas,10,180,-5.4,0,174.6,-5.4
Home Decor,3,179.2,-5.12,0,174.08,-5.12
Music,3,174,0,0,174,0
Basket,3,174,0,0,174,0
Jewelry,3,174,0,0,174,0
Home Decor,3,186,-12.4,0,173.6,-12.4
Art & Sculpture,5,180,-7.2,0,172.8,-7.2
Art & Sculpture,3,184,-11.6,0,172.4,-11.6
Art & Sculpture,4,172,0,0,172,0
Art & Sculpture,8,176,-4.4,0,171.6,-4.4
Home Decor,4,176,-4.4,0,171.6,-4.4
Basket,4,176,-4.4,0,171.6,-4.4
Kitchen,16,172.5,-1.05,0,171.45,-1.05
Basket,5,170,0,0,170,0
Christmas,5,170,0,0,170,0
Kitchen,15,171,-1.05,0,169.95,-1.05
Jewelry,8,176,-6.6,0,169.4,-6.6
Kitchen,16,175.5,-7.12,0,168.38,-7.12
Home Decor,3,174,-5.8,0,168.2,-5.8
Furniture,3,174,-5.8,0,168.2,-5.8
Accessories,3,174,-5.81,0,168.19,-5.81
Basket,4,168,0,0,168,0
Soapstone,7,168,0,0,168,0
Art & Sculpture,4,168,0,0,168,0
Art & Sculpture,4,182,-14.4,0,167.6,-14.4
Kitchen,14,172,-4.8,0,167.2,-4.8
Kids,5,170,-3.4,0,166.6,-3.4
Home Decor,4,166.6,0,0,166.6,0
Basket,1,185,-18.5,0,166.5,-18.5
Art & Sculpture,4,166,0,0,166,0
Basket,2,182,-16.23,0,165.77,-16.23
Art & Sculpture,1,165,0,0,165,0
Basket,1,165,0,0,165,0
One-of-a-Kind,1,165,0,0,165,0
Basket,5,206,-7.2,-34,164.8,-41.2
Basket,3,164,0,0,164,0
Textiles,8,164,0,0,164,0
Art & Sculpture,2,163,0,0,163,0
Art & Sculpture,6,162,0,0,162,0
Art & Sculpture,3,162,0,0,162,0
Basket,10,160,0,0,160,0
Basket,3,160,0,0,160,0
Home Decor,2,160,0,0,160,0
Basket,3,171,-11.3,0,159.7,-11.3
Christmas,6,168,-8.4,0,159.6,-8.4
Basket,6,170,-11.6,0,158.4,-11.6
Basket,3,163,-4.8,0,158.2,-4.8
Basket,5,172,-14,0,158,-14
Basket,1,175,-17.49,0,157.51,-17.49
Basket,1,175,-17.5,0,157.5,-17.5
Art & Sculpture,4,157,0,0,157,0
Basket,1,174,-17.4,0,156.6,-17.4
Home Decor,3,162,-5.4,0,156.6,-5.4
Basket,3,174,-17.4,0,156.6,-17.4
Jewelry,2,156,0,0,156,0
Home Decor,3,180,-24,0,156,-24
Kitchen,13,156,0,0,156,0
Home Decor,2,156,0,0,156,0
Home Decor,1,155,0,0,155,0
Basket,1,155,0,0,155,0
Art & Sculpture,9,162,-7.21,0,154.79,-7.21
Art & Sculpture,5,160,-6.4,0,153.6,-6.4
Art & Sculpture,10,153.2,0,0,153.2,0
Jewelry,4,156,-3.81,0,152.19,-3.81
Art & Sculpture,4,152,0,0,152,0
Basket,3,152,0,0,152,0
Jewelry,7,154,-2.2,0,151.8,-2.2
Art & Sculpture,7,154,-2.2,0,151.8,-2.2
Art & Sculpture,4,151.4,0,0,151.4,0
Art & Sculpture,2,168,-16.8,0,151.2,-16.8
Basket,3,156,-5.2,0,150.8,-5.2
Art & Sculpture,4,158.8,-8.38,0,150.42,-8.38
Art & Sculpture,1,150,0,0,150,0
Art & Sculpture,4,150,0,0,150,0
Soapstone,7,154,-4.4,0,149.6,-4.4
Basket,1,165,-16.5,0,148.5,-16.5
Kids,3,158,-9.6,0,148.4,-9.6
Basket,4,152,-3.8,0,148.2,-3.8
Home Decor,4,152,-3.8,0,148.2,-3.8
Basket,3,148,0,0,148,0
Basket,1,185,-37,0,148,-37
Basket,2,148,0,0,148,0
Art & Sculpture,1,185,-37,0,148,-37
Kitchen,15,159,-11.54,0,147.46,-11.54
Basket,4,192,-7.79,-38,146.21,-45.79
Basket,1,145,0,0,145,0
Art & Sculpture,1,145,0,0,145,0
Jewelry,4,152,-7.6,0,144.4,-7.6
Kids,3,144,0,0,144,0
Basket,2,144,0,0,144,0
Art & Sculpture,2,144,0,0,144,0
Art & Sculpture,3,144,0,0,144,0
Kitchen,13,148.5,-5.24,0,143.26,-5.24
Jewelry,6,144,-2.39,0,141.61,-2.39
Jewelry,6,144,-2.4,0,141.6,-2.4
Kitchen,4,140,0,0,140,0
Kitchen,5,140,0,0,140,0
Jewelry,5,140,0,0,140,0
Basket,1,145,-5,0,140,-5
Basket,3,144,-4.8,0,139.2,-4.8
Art & Sculpture,3,144,-4.8,0,139.2,-4.8
Home Decor,3,144,-4.8,0,139.2,-4.8
Christmas,8,144,-5,0,139,-5
Basket,3,138,0,0,138,0
Jewelry,5,140,-2.8,0,137.2,-2.8
Art & Sculpture,2,152,-15.2,0,136.8,-15.2
Basket,4,150,-13.68,0,136.32,-13.68
Soapstone,4,136,0,0,136,0
Jewelry,2,136,0,0,136,0
Home Decor,2,136,0,0,136,0
Art & Sculpture,2,136,0,0,136,0
Basket,2,136,0,0,136,0
Basket,1,136,0,0,136,0
Basket,3,146,-10.2,0,135.8,-10.2
Soapstone,5,140,-4.79,0,135.21,-4.79
One-of-a-Kind,1,135,0,0,135,0
Art & Sculpture,3,135,0,0,135,0
Kitchen,5,140,-5.6,0,134.4,-5.6
Accessories,3,134.4,0,0,134.4,0
Christmas,7,140,-5.89,0,134.11,-5.89
Art & Sculpture,3,134,0,0,134,0
Christmas,7,140,-6,0,134,-6
Home Decor,2,136,-3.4,0,132.6,-3.4
Kids,4,136,-3.4,0,132.6,-3.4
Basket,3,132,0,0,132,0
Kitchen,11,132,0,0,132,0
Christmas,6,132,0,0,132,0
Jewelry,4,134,-3.4,0,130.6,-3.4
Basket,1,145,-14.5,0,130.5,-14.5
Soapstone,3,174,0,-43.5,130.5,-43.5
Home Decor,2,130,0,0,130,0
Art & Sculpture,2,130,0,0,130,0
Basket,2,144,-14.4,0,129.6,-14.4
Furniture,1,144,-14.4,0,129.6,-14.4
Home Decor,2,136,-6.8,0,129.2,-6.8
Basket,2,136,-6.8,0,129.2,-6.8
Kitchen,2,136,-6.8,0,129.2,-6.8
Christmas,2,136,-6.8,0,129.2,-6.8
Home Decor,2,128,0,0,128,0
Christmas,2,128,0,0,128,0
Basket,2,256,0,-128,128,-128
Art & Sculpture,1,128,0,0,128,0
Art & Sculpture,2,128,0,0,128,0
Basket,3,132,-4.4,0,127.6,-4.4
Art & Sculpture,5,130,-2.6,0,127.4,-2.6
Home Decor,3,130,-3.5,0,126.5,-3.5
Christmas,6,126,0,0,126,0
Soapstone,7,126,0,0,126,0
Kitchen,7,126,0,0,126,0
Jewelry,3,126,0,0,126,0
Basket,1,125,0,0,125,0
Art & Sculpture,1,125,0,0,125,0
Home Decor,3,125,0,0,125,0
One-of-a-Kind,1,125,0,0,125,0
Kitchen,11,132,-7.2,0,124.8,-7.2
Kids,4,128,-3.2,0,124.8,-3.2
Art & Sculpture,1,156,-31.2,0,124.8,-31.2
Soapstone,7,126,-1.8,0,124.2,-1.8
Home Decor,2,124,0,0,124,0
Home Decor,2,189,-6.5,-58.5,124,-65
Home Decor,1,124,0,0,124,0
Art & Sculpture,3,132,-8.4,0,123.6,-8.4
Kids,4,130,-6.8,0,123.2,-6.8
Basket,3,132,-8.8,0,123.2,-8.8
Art & Sculpture,3,132,-8.8,0,123.2,-8.8
Jewelry,2,123,0,0,123,0
Basket,1,136,-13.6,0,122.4,-13.6
Art & Sculpture,2,136,-13.6,0,122.4,-13.6
Jewelry,3,122,0,0,122,0
Jewelry,2,128,-6.4,0,121.6,-6.4
Art & Sculpture,2,128,-6.41,0,121.59,-6.41
One-of-a-Kind,1,135,-13.49,0,121.51,-13.49
One-of-a-Kind,1,135,-13.5,0,121.5,-13.5
Art & Sculpture,7,126,-5.4,0,120.6,-5.4
Kitchen,7,126,-5.4,0,120.6,-5.4
Art & Sculpture,6,122,-1.8,0,120.2,-1.8
Home Decor,2,120,0,0,120,0
Basket,1,120,0,0,120,0
Jewelry,2,120,0,0,120,0
Art & Sculpture,1,120,0,0,120,0
Kitchen,3,120,0,0,120,0
Art & Sculpture,4,122,-3.8,0,118.2,-3.8
Art & Sculpture,3,126,-8.4,0,117.6,-8.4
Kitchen,6,117,0,0,117,0
Furniture,2,130,-13,0,117,-13
Home Decor,2,130,-13,0,117,-13
Basket,3,125,-8.7,0,116.3,-8.7
Recycled Art,2,116,0,0,116,0
Basket,1,116,0,0,116,0
Jewelry,2,116,0,0,116,0
Basket,2,116,0,0,116,0
Accessories,2,116,0,0,116,0
